global_step,total_samples,epoch,train_loss_perf,train_loss_target,train_loss_total,val_loss_perf,val_loss_target,val_loss_total,val_perf_acc,val_target_acc
10,2456,2,1.758161199092865,2.7114486932754516,4.469609892368316,1.6754320859909058,2.705084800720215,4.380516886711121,0.5308641975308642,0.07407407407407407
20,4912,3,1.608681082725525,2.696451950073242,4.305133032798767,1.4691794514656067,2.692815661430359,4.161995112895966,0.668724279835391,0.09876543209876543
30,7368,4,1.3803050518035889,2.6800563097000123,4.060361361503601,1.21406888961792,2.68044376373291,3.89451265335083,0.7407407407407407,0.10082304526748971
40,9720,5,1.1305288910865783,2.6682458400726317,3.79877473115921,0.990684986114502,2.6663037538528442,3.656988739967346,0.7716049382716049,0.12345679012345678
50,12176,7,0.9048859655857087,2.6568621397018433,3.5617481052875517,0.8005768954753876,2.650987982749939,3.4515648782253265,0.8292181069958847,0.1419753086419753
60,14632,8,0.723932421207428,2.6349326372146606,3.3588650584220887,0.657759040594101,2.6318957805633545,3.2896548211574554,0.8847736625514403,0.1522633744855967
70,17088,9,0.5902475774288177,2.6191009998321535,3.2093485772609713,0.552811324596405,2.602642774581909,3.155454099178314,0.9053497942386831,0.18106995884773663
80,19440,10,0.4673792392015457,2.5825860261917115,3.0499652653932574,0.47677910327911377,2.562304377555847,3.039083480834961,0.9135802469135802,0.2037037037037037
90,21896,12,0.40018788874149325,2.5332695484161376,2.9334574371576307,0.4203752428293228,2.5027711391448975,2.9231463819742203,0.9238683127572016,0.27983539094650206
100,24352,13,0.33941127359867096,2.4868411779403687,2.8262524515390397,0.4023641347885132,2.423628091812134,2.825992226600647,0.9135802469135802,0.3271604938271605
110,26808,14,0.30178810060024264,2.4067718505859377,2.70855995118618,0.36875784397125244,2.3403611183166504,2.709118962287903,0.934156378600823,0.4732510288065844
120,29160,15,0.282062828540802,2.31581654548645,2.597879374027252,0.3601529002189636,2.2391514778137207,2.5993043780326843,0.9300411522633745,0.5329218106995884
130,31616,17,0.2695749521255493,2.195311760902405,2.4648867130279544,0.3599918484687805,2.0915995836257935,2.451591432094574,0.9238683127572016,0.654320987654321
140,34072,18,0.2628400519490242,2.0653059482574463,2.3281460002064707,0.37421202659606934,1.9377952218055725,2.312007248401642,0.9259259259259259,0.757201646090535
150,36528,19,0.26188280880451204,1.9257412433624268,2.187624052166939,0.3626148998737335,1.77181476354599,2.1344296634197235,0.9197530864197531,0.8395061728395061
160,38880,20,0.26764545142650603,1.7460782527923584,2.0137237042188643,0.3528072237968445,1.6271930932998657,1.9800003170967102,0.9156378600823045,0.897119341563786
